Experiment Title,,,,,,,,,
Well ID,Type,Contents,Protein Name,Protein Concentration,Tracer Name,Tracer Concentration,Competitor Name,Competitor Concentration,Concentration Units
K5,Compound,,Protein,5000,Tracer,50,Competitor 4,31250,nM
K6,Compound,,Protein,5000,Tracer,50,Competitor 4,15625,nM
K7,Compound,,Protein,5000,Tracer,50,Competitor 4,7812.5,nM
K8,Compound,,Protein,5000,Tracer,50,Competitor 4,3906.25,nM
K9,Compound,,Protein,5000,Tracer,50,Competitor 4,1953.125,nM
K10,Compound,,Protein,5000,Tracer,50,Competitor 4,976.5625,nM
K11,Compound,,Protein,5000,Tracer,50,Competitor 4,488.28125,nM
K12,Compound,,Protein,5000,Tracer,50,Competitor 4,244.140625,nM
K13,Compound,,Protein,5000,Tracer,50,Competitor 4,122.0703125,nM
K14,Compound,,Protein,5000,Tracer,50,Competitor 4,61.03515625,nM
K15,Compound,,Protein,5000,Tracer,50,Competitor 4,30.51757813,nM
K16,Compound,,Protein,5000,Tracer,50,Competitor 4,15.25878906,nM
K17,,,,,,,,,
K18,,,,,,,,,
K19,Blank,,Protein,5000,,,Competitor 2,488.28125,nM
K20,Blank,,Protein,5000,,,Competitor 2,488.28125,nM
K21,Blank,,Protein,5000,,,Competitor 2,488.28125,nM
K22,Compound,,Protein,5000,Tracer,50,Competitor 2,488.28125,nM
K23,Compound,,Protein,5000,Tracer,50,Competitor 2,488.28125,nM
K24,Compound,,Protein,5000,Tracer,50,Competitor 2,488.28125,nM
L1,Blank,,Protein,5000,,,Competitor 4,500000,nM
L2,Blank,,Protein,5000,,,Competitor 4,250000,nM
L3,Blank,,Protein,5000,,,Competitor 4,125000,nM
L4,Blank,,Protein,5000,,,Competitor 4,62500,nM
L5,Blank,,Protein,5000,,,Competitor 4,31250,nM
L6,Blank,,Protein,5000,,,Competitor 4,15625,nM
L7,Blank,,Protein,5000,,,Competitor 4,7812.5,nM
L8,Blank,,Protein,5000,,,Competitor 4,3906.25,nM
L9,Blank,,Protein,5000,,,Competitor 4,1953.125,nM
L10,Blank,,Protein,5000,,,Competitor 4,976.5625,nM
L11,Blank,,Protein,5000,,,Competitor 4,488.28125,nM
L12,Blank,,Protein,5000,,,Competitor 4,244.140625,nM
L13,Blank,,Protein,5000,,,Competitor 4,122.0703125,nM
L14,Blank,,Protein,5000,,,Competitor 4,61.03515625,nM
L15,Blank,,Protein,5000,,,Competitor 4,30.51757813,nM
L16,Blank,,Protein,5000,,,Competitor 4,15.25878906,nM
L17,,,,,,,,,
L18,,,,,,,,,
L19,Blank,,Protein,5000,,,Competitor 2,244.140625,nM
L20,Blank,,Protein,5000,,,Competitor 2,244.140625,nM
L21,Blank,,Protein,5000,,,Competitor 2,244.140625,nM
L22,Compound,,Protein,5000,Tracer,50,Competitor 2,244.140625,nM
L23,Compound,,Protein,5000,Tracer,50,Competitor 2,244.140625,nM
L24,Compound,,Protein,5000,Tracer,50,Competitor 2,244.140625,nM
M1,Blank,,Protein,5000,,,Competitor 4,500000,nM
M2,Blank,,Protein,5000,,,Competitor 4,250000,nM
M3,Blank,,Protein,5000,,,Competitor 4,125000,nM
M4,Blank,,Protein,5000,,,Competitor 4,62500,nM
M5,Blank,,Protein,5000,,,Competitor 4,31250,nM
M6,Blank,,Protein,5000,,,Competitor 4,15625,nM
M7,Blank,,Protein,5000,,,Competitor 4,7812.5,nM
M8,Blank,,Protein,5000,,,Competitor 4,3906.25,nM
M9,Blank,,Protein,5000,,,Competitor 4,1953.125,nM
M10,Blank,,Protein,5000,,,Competitor 4,976.5625,nM
M11,Blank,,Protein,5000,,,Competitor 4,488.28125,nM
M12,Blank,,Protein,5000,,,Competitor 4,244.140625,nM
M13,Blank,,Protein,5000,,,Competitor 4,122.0703125,nM
M14,Blank,,Protein,5000,,,Competitor 4,61.03515625,nM
M15,Blank,,Protein,5000,,,Competitor 4,30.51757813,nM
M16,Blank,,Protein,5000,,,Competitor 4,15.25878906,nM
M17,,,,,,,,,
M18,,,,,,,,,
M19,Blank,,Protein,5000,,,Competitor 2,122.0703125,nM
M20,Blank,,Protein,5000,,,Competitor 2,122.0703125,nM
M21,Blank,,Protein,5000,,,Competitor 2,122.0703125,nM
M22,Compound,,Protein,5000,Tracer,50,Competitor 2,122.0703125,nM
M23,Compound,,Protein,5000,Tracer,50,Competitor 2,122.0703125,nM
M24,Compound,,Protein,5000,Tracer,50,Competitor 2,122.0703125,nM
N1,Blank,,Protein,5000,,,Competitor 4,500000,nM
N2,Blank,,Protein,5000,,,Competitor 4,250000,nM
N3,Blank,,Protein,5000,,,Competitor 4,125000,nM
N4,Blank,,Protein,5000,,,Competitor 4,62500,nM
N5,Blank,,Protein,5000,,,Competitor 4,31250,nM
N6,Blank,,Protein,5000,,,Competitor 4,15625,nM
N7,Blank,,Protein,5000,,,Competitor 4,7812.5,nM
N8,Blank,,Protein,5000,,,Competitor 4,3906.25,nM
N9,Blank,,Protein,5000,,,Competitor 4,1953.125,nM
N10,Blank,,Protein,5000,,,Competitor 4,976.5625,nM
N11,Blank,,Protein,5000,,,Competitor 4,488.28125,nM
N12,Blank,,Protein,5000,,,Competitor 4,244.140625,nM
N13,Blank,,Protein,5000,,,Competitor 4,122.0703125,nM
N14,Blank,,Protein,5000,,,Competitor 4,61.03515625,nM
N15,Blank,,Protein,5000,,,Competitor 4,30.51757813,nM
N16,Blank,,Protein,5000,,,Competitor 4,15.25878906,nM
N17,,,,,,,,,
N18,,,,,,,,,
N19,Blank,,Protein,5000,,,Competitor 2,61.03515625,nM
N20,Blank,,Protein,5000,,,Competitor 2,61.03515625,nM
N21,Blank,,Protein,5000,,,Competitor 2,61.03515625,nM
N22,Compound,,Protein,5000,Tracer,50,Competitor 2,61.03515625,nM
N23,Compound,,Protein,5000,Tracer,50,Competitor 2,61.03515625,nM
N24,Compound,,Protein,5000,Tracer,50,Competitor 2,61.03515625,nM
O1,,,,,,,,,
O2,,,,,,,,,
O3,,,,,,,,,
O4,,,,,,,,,
O5,,,,,,,,,
O6,,,,,,,,,
O7,,,,,,,,,
O8,,,,,,,,,
O9,,,,,,,,,
O10,,,,,,,,,
O11,,,,,,,,,
O12,,,,,,,,,
O13,,,,,,,,,
O14,,,,,,,,,
O15,,,,,,,,,
O16,,,,,,,,,
O17,,,,,,,,,
O18,,,,,,,,,
O19,Blank,,Protein,5000,,,Competitor 2,30.51757813,nM
O20,Blank,,Protein,5000,,,Competitor 2,30.51757813,nM
O21,Blank,,Protein,5000,,,Competitor 2,30.51757813,nM
O22,Compound,,Protein,5000,Tracer,50,Competitor 2,30.51757813,nM
O23,Compound,,Protein,5000,Tracer,50,Competitor 2,30.51757813,nM
O24,Compound,,Protein,5000,Tracer,50,Competitor 2,30.51757813,nM
P1,,,,,,,,,
P2,,,,,,,,,
P3,,,,,,,,,
P4,,,,,,,,,
P5,,,,,,,,,
P6,,,,,,,,,
P7,,,,,,,,,
P8,,,,,,,,,
P9,,,,,,,,,
P10,,,,,,,,,
P11,,,,,,,,,
P12,,,,,,,,,
P13,,,,,,,,,
P14,,,,,,,,,
P15,,,,,,,,,
P16,,,,,,,,,
P17,,,,,,,,,
P18,,,,,,,,,
P19,Blank,,Protein,5000,,,Competitor 2,15.25878906,nM
P20,Blank,,Protein,5000,,,Competitor 2,15.25878906,nM
P21,Blank,,Protein,5000,,,Competitor 2,15.25878906,nM
P22,Compound,,Protein,5000,Tracer,50,Competitor 2,15.25878906,nM
P23,Compound,,Protein,5000,Tracer,50,Competitor 2,15.25878906,nM
P24,Compound,,Protein,5000,Tracer,50,Competitor 2,15.25878906,nM
